country_region,sub_region_1,date,type,values
Argentina,CABA,2020-04-21,workplaces,-70
Argentina,CABA,2020-04-21,residential,32
Argentina,CABA,2020-04-22,retail_and_recreation,-88
Argentina,CABA,2020-04-22,grocery_and_pharmacy,-29
Argentina,CABA,2020-04-22,parks,-92
Argentina,CABA,2020-04-22,transit_stations,-72
Argentina,CABA,2020-04-22,workplaces,-69
Argentina,CABA,2020-04-22,residential,32
Argentina,CABA,2020-04-23,retail_and_recreation,-88
Argentina,CABA,2020-04-23,grocery_and_pharmacy,-30
Argentina,CABA,2020-04-23,parks,-94
Argentina,CABA,2020-04-23,transit_stations,-72
Argentina,CABA,2020-04-23,workplaces,-69
Argentina,CABA,2020-04-23,residential,34
Argentina,CABA,2020-04-24,retail_and_recreation,-88
Argentina,CABA,2020-04-24,grocery_and_pharmacy,-31
Argentina,CABA,2020-04-24,parks,-93
Argentina,CABA,2020-04-24,transit_stations,-72
Argentina,CABA,2020-04-24,workplaces,-68
Argentina,CABA,2020-04-24,residential,37
Argentina,CABA,2020-04-25,retail_and_recreation,-90
Argentina,CABA,2020-04-25,grocery_and_pharmacy,-36
Argentina,CABA,2020-04-25,parks,-96
Argentina,CABA,2020-04-25,transit_stations,-73
Argentina,CABA,2020-04-25,workplaces,-61
Argentina,CABA,2020-04-25,residential,31
Argentina,CABA,2020-04-26,retail_and_recreation,-88
Argentina,CABA,2020-04-26,grocery_and_pharmacy,-35
Argentina,CABA,2020-04-26,parks,-96
Argentina,CABA,2020-04-26,transit_stations,-74
Argentina,CABA,2020-04-26,workplaces,-61
Argentina,CABA,2020-04-26,residential,29
Argentina,CABA,2020-04-27,retail_and_recreation,-87
Argentina,CABA,2020-04-27,grocery_and_pharmacy,-36
Argentina,CABA,2020-04-27,parks,-94
Argentina,CABA,2020-04-27,transit_stations,-72
Argentina,CABA,2020-04-27,workplaces,-67
Argentina,CABA,2020-04-27,residential,32
Argentina,CABA,2020-04-28,retail_and_recreation,-89
Argentina,CABA,2020-04-28,grocery_and_pharmacy,-45
Argentina,CABA,2020-04-28,parks,-95
Argentina,CABA,2020-04-28,transit_stations,-76
Argentina,CABA,2020-04-28,workplaces,-70
Argentina,CABA,2020-04-28,residential,29
Argentina,CABA,2020-04-29,retail_and_recreation,-84
Argentina,CABA,2020-04-29,grocery_and_pharmacy,-17
Argentina,CABA,2020-04-29,parks,-91
Argentina,CABA,2020-04-29,transit_stations,-67
Argentina,CABA,2020-04-29,workplaces,-66
Argentina,CABA,2020-04-29,residential,30
Argentina,CABA,2020-04-30,retail_and_recreation,-82
Argentina,CABA,2020-04-30,grocery_and_pharmacy,-16
Argentina,CABA,2020-04-30,parks,-91
Argentina,CABA,2020-04-30,transit_stations,-67
Argentina,CABA,2020-04-30,workplaces,-66
Argentina,CABA,2020-04-30,residential,31
Argentina,CABA,2020-05-01,retail_and_recreation,-92
Argentina,CABA,2020-05-01,grocery_and_pharmacy,-72
Argentina,CABA,2020-05-01,parks,-96
Argentina,CABA,2020-05-01,transit_stations,-84
Argentina,CABA,2020-05-01,workplaces,-86
Argentina,CABA,2020-05-01,residential,42
Argentina,CABA,2020-05-02,retail_and_recreation,-84
Argentina,CABA,2020-05-02,grocery_and_pharmacy,-13
Argentina,CABA,2020-05-02,parks,-94
Argentina,CABA,2020-05-02,transit_stations,-67
Argentina,CABA,2020-05-02,workplaces,-55
Argentina,CABA,2020-05-02,residential,29
Argentina,CABA,2020-05-03,retail_and_recreation,-87
Argentina,CABA,2020-05-03,grocery_and_pharmacy,-32
Argentina,CABA,2020-05-03,parks,-96
Argentina,CABA,2020-05-03,transit_stations,-73
Argentina,CABA,2020-05-03,workplaces,-58
Argentina,CABA,2020-05-03,residential,28
Argentina,CABA,2020-05-04,retail_and_recreation,-84
Argentina,CABA,2020-05-04,grocery_and_pharmacy,-32
Argentina,CABA,2020-05-04,parks,-93
Argentina,CABA,2020-05-04,transit_stations,-70
Argentina,CABA,2020-05-04,workplaces,-65
Argentina,CABA,2020-05-04,residential,31
Argentina,CABA,2020-05-05,retail_and_recreation,-82
Argentina,CABA,2020-05-05,grocery_and_pharmacy,-23
Argentina,CABA,2020-05-05,parks,-90
Argentina,CABA,2020-05-05,transit_stations,-68
Argentina,CABA,2020-05-05,workplaces,-65
Argentina,CABA,2020-05-05,residential,30
Argentina,CABA,2020-05-06,retail_and_recreation,-82
Argentina,CABA,2020-05-06,grocery_and_pharmacy,-20
Argentina,CABA,2020-05-06,parks,-90
Argentina,CABA,2020-05-06,transit_stations,-67
Argentina,CABA,2020-05-06,workplaces,-64
Argentina,CABA,2020-05-06,residential,30
Argentina,CABA,2020-05-07,retail_and_recreation,-81
Argentina,CABA,2020-05-07,grocery_and_pharmacy,-20
Argentina,CABA,2020-05-07,parks,-89
Argentina,CABA,2020-05-07,transit_stations,-67
Argentina,CABA,2020-05-07,workplaces,-64
Argentina,CABA,2020-05-07,residential,31
Argentina,CABA,2020-05-08,retail_and_recreation,-81
Argentina,CABA,2020-05-08,grocery_and_pharmacy,-17
Argentina,CABA,2020-05-08,parks,-89
Argentina,CABA,2020-05-08,transit_stations,-65
Argentina,CABA,2020-05-08,workplaces,-62
Argentina,CABA,2020-05-08,residential,34
Argentina,CABA,2020-05-09,retail_and_recreation,-82
Argentina,CABA,2020-05-09,grocery_and_pharmacy,-14
Argentina,CABA,2020-05-09,parks,-92
Argentina,CABA,2020-05-09,transit_stations,-64
Argentina,CABA,2020-05-09,workplaces,-51
Argentina,CABA,2020-05-09,residential,28
Argentina,CABA,2020-05-10,retail_and_recreation,-84
Argentina,CABA,2020-05-10,grocery_and_pharmacy,-30
Argentina,CABA,2020-05-10,parks,-94
Argentina,CABA,2020-05-10,transit_stations,-69
Argentina,CABA,2020-05-10,workplaces,-54
Argentina,CABA,2020-05-10,residential,27
Argentina,CABA,2020-05-11,retail_and_recreation,-80
Argentina,CABA,2020-05-11,grocery_and_pharmacy,-23
Argentina,CABA,2020-05-11,parks,-89
Argentina,CABA,2020-05-11,transit_stations,-66
Argentina,CABA,2020-05-11,workplaces,-61
Argentina,CABA,2020-05-11,residential,29
Argentina,CABA,2020-05-12,retail_and_recreation,-79
Argentina,CABA,2020-05-12,grocery_and_pharmacy,-20
Argentina,CABA,2020-05-12,parks,-88
Argentina,CABA,2020-05-12,transit_stations,-65
Argentina,CABA,2020-05-12,workplaces,-61
Argentina,CABA,2020-05-12,residential,28
Argentina,CABA,2020-05-13,retail_and_recreation,-79
Argentina,CABA,2020-05-13,grocery_and_pharmacy,-18
Argentina,CABA,2020-05-13,parks,-86
Argentina,CABA,2020-05-13,transit_stations,-65
Argentina,CABA,2020-05-13,workplaces,-60
Argentina,CABA,2020-05-13,residential,28
Argentina,CABA,2020-05-14,retail_and_recreation,-79
Argentina,CABA,2020-05-14,grocery_and_pharmacy,-21
Argentina,CABA,2020-05-14,parks,-88
Argentina,CABA,2020-05-14,transit_stations,-66
Argentina,CABA,2020-05-14,workplaces,-61
Argentina,CABA,2020-05-14,residential,28
Argentina,CABA,2020-05-15,retail_and_recreation,-79
Argentina,CABA,2020-05-15,grocery_and_pharmacy,-17
Argentina,CABA,2020-05-15,parks,-89
Argentina,CABA,2020-05-15,transit_stations,-64
Argentina,CABA,2020-05-15,workplaces,-59
Argentina,CABA,2020-05-15,residential,32
Argentina,CABA,2020-05-16,retail_and_recreation,-79
Argentina,CABA,2020-05-16,grocery_and_pharmacy,-11
Argentina,CABA,2020-05-16,parks,-89
Argentina,CABA,2020-05-16,transit_stations,-60
Argentina,CABA,2020-05-16,workplaces,-48
Argentina,CABA,2020-05-16,residential,26
Argentina,CABA,2020-05-17,retail_and_recreation,-81
Argentina,CABA,2020-05-17,grocery_and_pharmacy,-26
Argentina,CABA,2020-05-17,parks,-90
Argentina,CABA,2020-05-17,transit_stations,-65
